district_norm,district_raw,state_raw,latitude,longitude,geocoded_name,geocoded_admin1,geocoded_admin2,resolved
nan,nan,Assam,26.48675,91.50271,Nankar Bhaira,Assam,Nalbari,True
damoh,Damoh,Odisha,23.83312,79.4419,Damoh,Madhya Pradesh,Damoh,True
shajapur,Shajapur,Odisha,23.42637,76.27775,Shājāpur,Madhya Pradesh,Shājāpur District,True
vidisha,Vidisha,Odisha,23.52604,77.81092,Vidisha,Madhya Pradesh,Vidisha,True
rajgarh,Rajgarh,Odisha,28.64201,75.38612,Rājgarh,Rajasthan,Churu,True
shahdol,Shahdol,Odisha,23.29356,81.3619,Shahdol,Madhya Pradesh,Shahdol,True
katni,Katni,Odisha,20.30173,85.71695,Kātni,Odisha,Khordha,True
umaria,Umaria,Odisha,23.52473,80.83716,Umaria,Madhya Pradesh,Umaria,True
ratlam,Ratlam,Odisha,23.33033,75.04032,Ratlām,Madhya Pradesh,Ratlam,True
bhopal,Bhopal,Odisha,23.25469,77.40289,Bhopal,Madhya Pradesh,Bhopal District,True
ujjain,Ujjain,Odisha,23.18239,75.77643,Ujjain,Madhya Pradesh,Ujjain district,True
sehore,Sehore,Odisha,23.2,77.08333,Sehore,Madhya Pradesh,Sehore,True
jabalpur,Jabalpur,Odisha,20.701,84.47735,Jabalpur,Odisha,Bauda District,True
dewas,Dewas,Odisha,22.96585,76.05526,Dewas,Madhya Pradesh,Dewas district,True
jhabua,Jhabua,Odisha,22.76772,74.59087,Jhābua,Madhya Pradesh,Jhabua,True
sagar,Sagar,Odisha,20.46282,85.14163,Sāgar,Odisha,Cuttack District,True
dindori,Dindori,Odisha,22.94141,81.07975,Dindori,Madhya Pradesh,Dindori,True
narsimhapur,Narsimhapur,Odisha,22.94936,79.18357,Narsimhapur,Madhya Pradesh,Narsinghpur,True
dhar,Dhar,Odisha,20.82177,82.69849,Dhārol,Odisha,Bargarh,True
indore,Indore,Odisha,22.71792,75.8333,Indore,Madhya Pradesh,Indore district,True
mandla,Mandla,Odisha,18.37703,82.98955,Mandlavalasa,Odisha,Koraput District,True
