uei,district_norm,state,issue_date,label,latitude,longitude,n_missing_features,rain_prev_3d_mm,rain_prev_7d_mm,rain_prev_14d_mm,et0_prev_7d_mm,forecast_rain_0_24h_mm,forecast_rain_24_48h_mm,river_discharge_current_m3s,river_discharge_change_pct,elevation_m,slope_proxy_pct,historical_flood_event_count_district,historical_flood_years_count,distance_to_nearest_recorded_flood_event_km,days_since_last_recorded_flood
UEI-IMD-FL-2015-0005,bongaigaon,Assam,2015-02-18,1,26.47703,90.55815,6,,,,,,,0.09,0.0,59.0,0.36,45,27,0.0,187
UEI-IMD-FL-2015-0005,marigaon,Assam,2015-02-18,1,21.63523,85.57643,8,,,,,,,,,498.0,9.64,42,23,0.0,149
UEI-IMD-FL-2015-0005,karimganj,Assam,2015-02-18,1,27.31018,79.03611,8,,,,,,,,,160.0,0.36,53,30,0.0,643
UEI-IMD-FL-2015-0005,goalpara,Assam,2015-02-18,1,26.17668,90.62634,8,,,,,,,,,40.0,0.901,64,37,0.0,149
UEI-IMD-FL-2015-0005,tinsukia,Assam,2015-02-18,1,27.48905,95.35992,8,,,,,,,,,127.0,0.45,44,25,0.0,529
UEI-IMD-FL-2015-0005,dhubri,Assam,2015-02-18,1,26.01856,89.98564,8,,,,,,,,,34.0,0.901,68,35,0.0,149
UEI-IMD-FL-2015-0005,dhemaji,Assam,2015-02-18,1,27.48333,94.58333,8,,,,,,,,,109.0,1.081,110,31,0.0,149
UEI-IMD-FL-2015-0005,golaghat,Assam,2015-02-18,1,26.51167,93.95951,8,,,,,,,,,97.0,0.721,43,24,0.0,187
UEI-IMD-FL-2015-0005,dibrugarh,Assam,2015-02-18,1,27.47989,94.90837,8,,,,,,,,,108.0,0.541,71,36,0.0,187
UEI-IMD-FL-2015-0005,lakhimpur,Assam,2015-02-18,1,27.94822,80.77935,8,,,,,,,,,152.0,0.811,120,43,0.0,149
UEI-IMD-FL-2015-0005,jorhat,Assam,2015-02-18,1,26.75751,94.20306,8,,,,,,,,,92.0,0.45,87,34,0.0,187
UEI-IMD-FL-2015-0005,sonitpur,Assam,2015-02-18,1,26.78196,92.44907,8,,,,,,,,,101.0,0.36,88,36,0.0,149
UEI-IMD-FL-2015-0005,udalguri,Assam,2015-02-18,1,26.75367,92.10215,6,,,,,,,0.03,0.0,110.0,0.45,24,17,0.0,149
UEI-IMD-FL-2015-0005,chirang,Assam,2015-02-18,1,29.87368,79.81931,6,,,,,,,0.94,3.3,1202.0,33.243,21,15,0.0,593
UEI-IMD-FL-2015-0005,baksa,Assam,2015-02-18,1,28.7643,78.00321,6,,,,,,,0.12,0.0,217.0,0.541,23,16,0.0,643
UEI-IMD-FL-2015-0005,nagaon,Assam,2015-02-18,1,24.7321,83.2288,8,,,,,,,,,322.0,0.901,65,36,0.0,149
UEI-IMD-FL-2015-0005,kokrajhar,Assam,2015-02-18,1,26.40107,90.27286,6,,,,,,,0.09,-25.0,49.0,0.541,33,24,0.0,149
UEI-IMD-FL-2015-0005,hailakandi,Assam,2015-02-18,1,24.68394,92.56097,6,,,,,,,75.91,-0.5,27.0,0.721,33,22,0.0,643
UEI-IMD-FL-2015-0005,darrang,Assam,2015-02-18,1,26.63333,92.8,6,,,,,,,1895.71,-2.1,70.0,0.36,69,37,0.0,149
UEI-IMD-FL-2015-0005,nalbari,Assam,2015-02-18,1,26.43937,91.44041,8,,,,,,,,,53.0,0.09,64,28,0.0,529
UEI-IMD-FL-2015-0005,biswanath,Assam,2015-02-18,1,26.72577,93.14659,6,,,,,,,0.12,0.0,81.0,0.541,21,16,0.0,643
UEI-IMD-FL-2015-0005,hojai,Assam,2015-02-18,1,26.00281,92.85605,6,,,,,,,0.44,-6.4,74.0,0.541,20,15,0.0,643
UEI-IMD-FL-2015-0005,barpeta,Assam,2015-02-18,1,26.32293,91.00632,0,0.1,0.4,0.4,23.1,6.2,0.0,0.56,-5.1,46.0,0.36,74,33,0.0,149
UEI-IMD-FL-2015-0005,majuli,Assam,2015-02-18,1,26.95,94.16667,8,,,,,,,,,88.0,0.45,22,17,0.0,643
UEI-IMD-FL-2015-0044,alappuzha,Kerala,2015-03-02,1,9.49004,76.3264,0,5.800000000000001,7.000000000000001,8.3,34.03,0.7,2.5,0.03,0.0,7.0,0.631,77,32,0.0,213
UEI-IMD-FL-2015-0044,ernakulam,Kerala,2015-03-02,1,9.96714,76.29036,8,,,,,,,,,9.0,0.811,52,32,0.0,303
UEI-IMD-FL-2015-0044,thrissur,Kerala,2015-03-02,1,10.51667,76.21667,8,,,,,,,,,15.0,0.901,58,34,0.0,213
UEI-IMD-FL-2015-0044,pathanamthitta,Kerala,2015-03-02,1,9.26667,76.78333,6,,,,,,,5.65,11.4,28.0,0.991,49,24,0.0,192
UEI-IMD-FL-2015-0044,kottayam,Kerala,2015-03-02,1,9.58692,76.52132,6,,,,,,,1.34,12.6,26.0,2.072,71,35,0.0,192
UEI-IMD-FL-2015-0044,malappuram,Kerala,2015-03-02,1,11.04199,76.08154,8,,,,,,,,,75.0,5.135,65,30,0.0,213
UEI-IMD-FL-2015-0033,hassan,Karnataka,2015-03-05,1,13.00715,76.0962,6,,,,,,,0.16,33.3,954.0,2.252,23,15,0.0,2376
UEI-IMD-FL-2015-0033,gadag,Karnataka,2015-03-05,1,15.42977,75.62971,8,,,,,,,,,652.0,0.721,22,14,0.0,244
UEI-IMD-FL-2015-0033,ballari,Karnataka,2015-03-05,1,15.14205,76.92398,0,0.6,0.6,0.6,39.94,0.2,0.0,0.53,0.0,454.0,0.721,38,24,0.0,131
UEI-IMD-FL-2015-0045,kottayam,Kerala,2015-03-12,1,9.58692,76.52132,6,,,,,,,1.69,6.3,26.0,2.072,72,36,0.0,9
UEI-IMD-FL-2015-0045,thrissur,Kerala,2015-03-12,1,10.51667,76.21667,8,,,,,,,,,15.0,0.901,59,35,0.0,9
UEI-IMD-FL-2015-0045,thiruvananthapuram,Kerala,2015-03-12,1,8.4855,76.94924,8,,,,,,,,,12.0,2.432,141,35,0.0,167
UEI-IMD-FL-2015-0045,alappuzha,Kerala,2015-03-12,1,9.49004,76.3264,0,3.4,34.9,46.0,32.36,2.8,6.0,0.06,100.0,7.0,0.631,78,33,0.0,9
UEI-IMD-FL-2015-0025,pulwama,Jammu and Kashmir,2015-03-20,1,33.87405,74.89955,6,,,,,,,7.85,-3.3,1648.0,1.532,18,13,0.0,193
