uei,district_norm,state,issue_date,label,latitude,longitude,n_missing_features,rain_prev_3d_mm,rain_prev_7d_mm,rain_prev_14d_mm,et0_prev_7d_mm,forecast_rain_0_24h_mm,forecast_rain_24_48h_mm,river_discharge_current_m3s,river_discharge_change_pct,elevation_m,slope_proxy_pct,historical_flood_event_count_district,historical_flood_years_count,distance_to_nearest_recorded_flood_event_km,days_since_last_recorded_flood
UEI-IMD-FL-2015-0005,bongaigaon,Assam,2015-02-18,1,26.47703,90.55815,0,0.0,0.5,0.5,22.97,5.8,0.0,0.09,0.0,59.0,0.36,45,27,0.0,187.0
UEI-IMD-FL-2015-0005,dhubri,Assam,2015-02-18,1,26.01856,89.98564,0,0.0,0.0,0.0,24.15,0.4,0.1,2132.05,-1.6,34.0,0.901,68,35,0.0,149.0
UEI-IMD-FL-2015-0005,dhemaji,Assam,2015-02-18,1,27.48333,94.58333,0,0.0,8.4,8.5,20.95,0.8,0.0,0.94,0.0,109.0,1.081,110,31,0.0,149.0
UEI-IMD-FL-2015-0005,chirang,Assam,2015-02-18,1,29.87368,79.81931,0,3.8,4.6000000000000005,5.7,18.009999999999998,0.9,0.0,0.94,3.3,1202.0,33.243,21,15,0.0,593.0
UEI-IMD-FL-2015-0005,baksa,Assam,2015-02-18,1,28.7643,78.00321,0,2.0,2.0,2.3,23.71,18.7,0.3,0.12,0.0,217.0,0.541,23,16,0.0,643.0
UEI-IMD-FL-2015-0005,darrang,Assam,2015-02-18,1,26.63333,92.8,0,0.0,6.7,6.800000000000001,20.1,3.6,0.0,1895.71,-2.1,70.0,0.36,69,37,0.0,149.0
UEI-IMD-FL-2015-0005,biswanath,Assam,2015-02-18,1,26.72577,93.14659,0,0.0,8.6,8.6,20.299999999999997,3.8,0.0,0.12,0.0,81.0,0.541,21,16,0.0,643.0
UEI-IMD-FL-2015-0005,barpeta,Assam,2015-02-18,1,26.32293,91.00632,0,0.1,0.4,0.4,23.1,6.2,0.0,0.56,-5.1,46.0,0.36,74,33,0.0,149.0
UEI-IMD-FL-2015-0044,alappuzha,Kerala,2015-03-02,1,9.49004,76.3264,0,5.800000000000001,7.000000000000001,8.3,34.03,0.7,2.5,0.03,0.0,7.0,0.631,77,32,0.0,213.0
UEI-IMD-FL-2015-0033,ballari,Karnataka,2015-03-05,1,15.14205,76.92398,0,0.6,0.6,0.6,39.94,0.2,0.0,0.53,0.0,454.0,0.721,38,24,0.0,131.0
UEI-IMD-FL-2015-0045,alappuzha,Kerala,2015-03-12,1,9.49004,76.3264,0,3.4,34.9,46.0,32.36,2.8,6.0,0.06,100.0,7.0,0.631,78,33,0.0,11.0
