source_record_id,latitude,longitude,state,district,event_year,landslide_type,material_type,triggering,geology,source,source_dataset_version,region,inventory_id,validation_status,label,negative_basis,elevation_m,slope_deg,aspect_sin,aspect_cos,profile_curvature,relief_local_m,block
22890.0,18.236856,83.028464,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Rainfall. The rock mass is highly dissected by discontinuous. The rainfall leads to the failure of joint plane.,Charnockite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4470,gsi_inventory_record,1,,830.0,6.744,0.99827,-0.05872,-0.00171221,24.0,1660_364
22703.0,18.240753,83.030742,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Reduction of strength on super- saturation,Charnockite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4471,gsi_inventory_record,1,,847.0,9.143,-0.932,0.36245,-0.00233548,53.0,1660_364
22889.0,18.230472,83.027111,Andhra Pradesh,Visakhapatanam,0.0,Slide,Rock,Rainfall. The rock mass is highly dissected by discontinuous. The rainfall leads to the failure of joint plane.,Migmatite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4472,gsi_inventory_record,1,,825.0,6.069,-0.83605,-0.54866,-0.00047916,42.0,1660_364
22891.0,18.246003,82.997139,Andhra Pradesh,Visakhapatanam,0.0,Slide,Rock,Rainfall. The rock mass is highly dissected by discontinuous. The rainfall leads to the failure of joint plane.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4473,gsi_inventory_record,1,,1056.0,16.569,0.98497,0.17272,0.00118683,65.0,1659_364
22730.0,18.252342,82.991439,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Rainfall and unplanned cutting for road.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4474,gsi_inventory_record,1,,1133.0,23.59,0.9987,0.05089,-0.0013609,99.0,1659_365
22493.0,18.257981,82.992014,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Rainfall and unplanned cutting for road.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4475,gsi_inventory_record,1,,1136.0,23.959,0.25941,0.96577,0.00174437,100.0,1659_365
22962.0,18.254583,82.991517,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Rainfall. The rock mass is highly dissected by discontinuous. The rainfall leads to the failure of joint plane.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4476,gsi_inventory_record,1,,1145.0,14.864,0.95768,-0.28783,0.00025982,60.0,1659_365
22514.0,18.254817,82.991942,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Unplannedroad cutting,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4477,gsi_inventory_record,1,,1134.0,15.98,0.94573,-0.32494,-0.00065019,67.0,1659_365
22965.0,18.264242,82.988536,Andhra Pradesh,Visakhapatanam,0.0,Slide,Rock,High Rainfall. The rock mass is highly dissected by discontinuous resulting into formation of wedge and later rock slide occurred.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4478,gsi_inventory_record,1,,1186.0,22.608,0.95388,-0.30017,0.00045167,114.0,1659_365
22964.0,18.260186,82.986625,Andhra Pradesh,Visakhapatanam,0.0,Slide,Rock cum debris,High Rainfall. The rock mass is highly dissected by discontinuous. The rainfall leads to the failure of joint plane.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4479,gsi_inventory_record,1,,1177.0,30.31,0.62961,-0.77691,-0.00105139,134.0,1659_365
